Depth [m],TIME,Temperature [degrees_C],Northward velocity [m s-1],Eastward velocity [m s-1],Salinity [1e-3],LAT,LON,STATION
155.85069274902344,2020-07-25 12:00:00,0.6088818521116589,-0.04767096676018783,0.015569847052992945,34.10237704930674,53.533,-55.145,SI-04
186.12559509277344,2020-07-25 12:00:00,0.9724318595077456,-0.04959889281189156,0.01648160474926213,34.22565939009436,53.533,-55.145,SI-04
222.47520446777344,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
266.0403137207031,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
318.1274108886719,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
380.2130126953125,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
453.9377136230469,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
541.0889282226562,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
643.5667724609375,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
763.3331298828125,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
902.3392944335938,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
1062.43994140625,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
1245.291015625,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
1452.2509765625,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
1684.2840576171875,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
1941.8929443359375,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
2225.077880859375,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
2533.3359375,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
2865.702880859375,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
3220.820068359375,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
3597.031982421875,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
3992.48388671875,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
4405.22412109375,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
4833.291015625,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
5274.7841796875,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
5727.9169921875,2020-07-25 12:00:00,nan,nan,nan,nan,53.533,-55.145,SI-04
0.49402499198913574,2020-07-25 12:00:00,8.397767045736032,-0.11023267358541684,-0.004001567289233423,32.10535040498053,53.617,-55.0,SI-05
1.5413750410079956,2020-07-25 12:00:00,8.384131317853907,-0.12060897496340672,-0.003144605755806204,32.10535040498053,53.617,-55.0,SI-05
2.6456689834594727,2020-07-25 12:00:00,8.268686088323836,-0.1291541531682034,-0.0037549759447576964,32.10901862234137,53.617,-55.0,SI-05
3.8194949626922607,2020-07-25 12:00:00,8.053672985556057,-0.14014082100985448,-0.007170605733990924,32.11603155732428,53.617,-55.0,SI-05
5.078224182128906,2020-07-25 12:00:00,7.714809061050241,-0.1541793271899243,-0.014248456656933105,32.12944096774177,53.617,-55.0,SI-05
6.440614223480225,2020-07-25 12:00:00,7.2804465756415,-0.16749028313162317,-0.025352307558060005,32.14895389378425,53.617,-55.0,SI-05
7.92956018447876,2020-07-25 12:00:00,6.797291158676321,-0.17616487628220606,-0.037923490181565614,32.175482028358054,53.617,-55.0,SI-05
9.572997093200684,2020-07-25 12:00:00,6.283639651538009,-0.17995649904012861,-0.05074126414954695,32.20811140500845,53.617,-55.0,SI-05
11.404999732971191,2020-07-25 12:00:00,5.735083432197657,-0.17874797350167307,-0.06233829551936321,32.250190556054804,53.617,-55.0,SI-05
13.467140197753906,2020-07-25 12:00:00,5.123943273544135,-0.17326685893537958,-0.07113007545471223,32.302951591844426,53.617,-55.0,SI-05
15.810070037841797,2020-07-25 12:00:00,4.436556219811819,-0.1650976766347682,-0.07589584574103383,32.37097068429703,53.617,-55.0,SI-05
18.495559692382812,2020-07-25 12:00:00,3.671035198925157,-0.15607152914999972,-0.07675280949472316,32.45304691904416,53.617,-55.0,SI-05
21.598819732666016,2020-07-25 12:00:00,2.8517495732316607,-0.14790233796833993,-0.07394754767417931,32.548857605096416,53.617,-55.0,SI-05
25.211410522460938,2020-07-25 12:00:00,2.030746410128552,-0.1407072928846114,-0.0699215499162567,32.656875322398676,53.617,-55.0,SI-05
29.444730758666992,2020-07-25 12:00:00,1.2704109790309244,-0.1341226320266409,-0.06589554771780987,32.77739303076051,53.617,-55.0,SI-05
34.43415069580078,2020-07-25 12:00:00,0.6269397363667106,-0.1265638133287551,-0.06162295417488732,32.912846028446076,53.617,-55.0,SI-05
40.344051361083984,2020-07-25 12:00:00,0.14060617756636534,-0.11717388620971653,-0.05685718238353753,33.064174274742484,53.617,-55.0,SI-05
47.37369155883789,2020-07-25 12:00:00,-0.16482925200328746,-0.1059528478085896,-0.051481038182974136,33.22530479395391,53.617,-55.0,SI-05
55.76428985595703,2020-07-25 12:00:00,-0.28889843917003766,-0.09351106458903546,-0.04561171129345929,33.38494151533715,53.617,-55.0,SI-05
65.80726623535156,2020-07-25 12:00:00,-0.2556202068313076,-0.080341728121054,-0.038768235370517184,33.52782484108034,53.617,-55.0,SI-05
77.85385131835938,2020-07-25 12:00:00,-0.11706269621645393,-0.06717239165307255,-0.03156098060309932,33.6538906853772,53.617,-55.0,SI-05
92.3260726928711,2020-07-25 12:00:00,0.07005048203567182,-0.054003057405353196,-0.022522615268826974,33.774438933668215,53.617,-55.0,SI-05
109.72930145263672,2020-07-25 12:00:00,0.3017993245134048,-0.042054461315274724,-0.011277144178748737,33.90511295461302,53.617,-55.0,SI-05
130.66600036621094,2020-07-25 12:00:00,0.6158918840889808,-0.030223052725196296,-0.0021093750000007044,34.041042151683264,53.617,-55.0,SI-05
155.85069274902344,2020-07-25 12:00:00,0.9027841668160927,-0.014050730690359971,-0.001418466344476118,34.15243285298839,53.617,-55.0,SI-05
186.12559509277344,2020-07-25 12:00:00,1.1733280212882973,-0.0052589567005633525,0.004673019200563157,34.23366228938485,53.617,-55.0,SI-05
222.47520446777344,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
266.0403137207031,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
318.1274108886719,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
380.2130126953125,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
453.9377136230469,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
541.0889282226562,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
643.5667724609375,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
763.3331298828125,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
902.3392944335938,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
1062.43994140625,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
1245.291015625,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
1452.2509765625,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
1684.2840576171875,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
1941.8929443359375,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
2225.077880859375,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
2533.3359375,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
2865.702880859375,2020-07-25 12:00:00,nan,nan,nan,nan,53.617,-55.0,SI-05
